agent,time,x,y,z
9,73,83.0,34.0,43.0
0,74,83.0,11.0,10.0
1,74,16.0,10.0,10.0
2,74,50.0,80.0,50.0
3,74,80.0,50.0,34.0
4,74,84.0,30.0,70.0
5,74,70.0,44.0,40.0
6,74,60.0,60.0,44.0
7,74,21.0,47.0,7.0
8,74,35.0,43.0,67.0
9,74,83.0,35.0,43.0
0,75,84.0,11.0,10.0
1,75,15.0,10.0,10.0
2,75,50.0,80.0,50.0
3,75,80.0,50.0,35.0
4,75,85.0,30.0,70.0
5,75,70.0,45.0,40.0
6,75,60.0,60.0,45.0
7,75,21.0,46.0,7.0
8,75,35.0,44.0,67.0
9,75,83.0,36.0,43.0
0,76,85.0,11.0,10.0
1,76,14.0,10.0,10.0
2,76,50.0,80.0,50.0
3,76,80.0,50.0,36.0
4,76,86.0,30.0,70.0
5,76,70.0,46.0,40.0
6,76,60.0,60.0,46.0
7,76,21.0,45.0,7.0
8,76,35.0,45.0,67.0
9,76,83.0,37.0,43.0
0,77,86.0,11.0,10.0
1,77,13.0,10.0,10.0
2,77,50.0,80.0,50.0
3,77,80.0,50.0,37.0
4,77,87.0,30.0,70.0
5,77,70.0,47.0,40.0
6,77,60.0,60.0,47.0
7,77,21.0,44.0,7.0
8,77,35.0,46.0,67.0
9,77,83.0,38.0,43.0
0,78,87.0,11.0,10.0
1,78,12.0,10.0,10.0
2,78,50.0,80.0,50.0
3,78,80.0,50.0,38.0
4,78,88.0,30.0,70.0
5,78,70.0,48.0,40.0
6,78,60.0,60.0,48.0
7,78,21.0,43.0,7.0
8,78,35.0,47.0,67.0
9,78,83.0,39.0,43.0
0,79,88.0,11.0,10.0
1,79,11.0,10.0,10.0
2,79,50.0,80.0,50.0
3,79,80.0,50.0,39.0
4,79,89.0,30.0,70.0
5,79,70.0,49.0,40.0
6,79,60.0,60.0,49.0
7,79,21.0,42.0,7.0
8,79,35.0,48.0,67.0
9,79,83.0,40.0,43.0
0,80,89.0,11.0,10.0
1,80,10.0,10.0,10.0
2,80,50.0,80.0,50.0
3,80,80.0,50.0,40.0
4,80,90.0,30.0,70.0
5,80,70.0,50.0,40.0
6,80,60.0,60.0,50.0
7,80,21.0,41.0,7.0
8,80,35.0,49.0,67.0
9,80,83.0,41.0,43.0
0,81,90.0,11.0,10.0
1,81,10.0,11.0,10.0
2,81,50.0,80.0,50.0
3,81,80.0,50.0,41.0
4,81,90.0,31.0,70.0
5,81,70.0,51.0,40.0
6,81,60.0,60.0,51.0
7,81,21.0,40.0,7.0
8,81,35.0,50.0,67.0
9,81,83.0,42.0,43.0
0,82,90.0,12.0,10.0
1,82,10.0,12.0,10.0
2,82,50.0,80.0,50.0
3,82,80.0,50.0,42.0
4,82,90.0,32.0,70.0
5,82,70.0,52.0,40.0
6,82,60.0,60.0,52.0
7,82,21.0,39.0,7.0
8,82,35.0,51.0,67.0
9,82,83.0,43.0,43.0
0,83,90.0,13.0,10.0
1,83,10.0,13.0,10.0
2,83,50.0,80.0,50.0
3,83,80.0,50.0,43.0
4,83,90.0,33.0,70.0
5,83,70.0,53.0,40.0
6,83,60.0,60.0,53.0
7,83,21.0,38.0,7.0
8,83,35.0,52.0,67.0
9,83,83.0,44.0,43.0
0,84,90.0,14.0,10.0
1,84,10.0,14.0,10.0
2,84,50.0,80.0,50.0
3,84,80.0,50.0,44.0
4,84,90.0,34.0,70.0
5,84,70.0,54.0,40.0
6,84,60.0,60.0,54.0
7,84,21.0,37.0,7.0
8,84,35.0,53.0,67.0
9,84,83.0,45.0,43.0
0,85,90.0,15.0,10.0
1,85,10.0,15.0,10.0
2,85,50.0,80.0,50.0
3,85,80.0,50.0,45.0
4,85,90.0,35.0,70.0
5,85,70.0,55.0,40.0
6,85,60.0,60.0,55.0
7,85,21.0,36.0,7.0
8,85,35.0,54.0,67.0
9,85,83.0,46.0,43.0
0,86,90.0,16.0,10.0
1,86,10.0,16.0,10.0
2,86,50.0,80.0,50.0
3,86,80.0,50.0,46.0
4,86,90.0,36.0,70.0
5,86,70.0,56.0,40.0
6,86,60.0,60.0,56.0
7,86,21.0,35.0,7.0
