agent,time,x,y,z,collision_risk,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
0,15.8,16.503066301338965,14.648466849330518,14.648466849330518,0.0,1.9741375136292916,0.0,1.9741375136292916,0.5922412540887888
1,15.8,83.49693369866104,14.648466849330516,14.648466849330516,0.0,1.9741375136292976,0.0,1.9741375136292976,0.5922412540887888
2,15.8,50.0,35.8,50.0,0.0,0.0,0.0,0.0,0.0
3,15.8,28.827299726004224,50.0,26.972700273995777,0.0,1.709653237366812,0.0,1.709653237366812,0.5128959712100432
4,15.8,21.151533150669483,34.64846684933052,65.35153315066948,0.0,1.3959260228820203,0.0,1.3959260228820203,0.4187778068646077
5,15.8,34.510866223054464,15.312533542092023,41.32813338552301,0.0,2.175393588135482,0.0,2.175393588135482,0.6526180764406436
6,15.8,42.629343926896865,40.77474447488842,13.09897789955368,0.0,2.3496936269475133,0.0,2.3496936269475133,0.7049080880842553
7,15.8,76.00535546741988,52.53747182464271,12.355033810428754,0.0,1.6890128038087513,0.0,1.6890128038087513,0.5067038411426196
8,15.8,63.755745997471564,5.168963651559952,66.7394397717775,0.0,2.2941868973128847,0.0,2.2941868973128847,0.6882560691938678
9,15.8,39.623888285110894,17.581618589681376,42.33229956336566,0.0,1.961267720323155,0.0,1.961267720323155,0.588380316096947
0,16.0,16.585327425616697,14.70733628719165,14.70733628719165,0.0,1.9990882987992462,0.0,1.9990882987992462,0.5997264896397742
1,16.0,83.4146725743833,14.70733628719165,14.70733628719165,0.0,1.9990882987992356,0.0,1.9990882987992356,0.5997264896397683
2,16.0,50.0,36.0,50.0,0.0,0.0,0.0,0.0,0.0
3,16.0,28.938995569212523,50.0,27.061004430787477,0.0,1.7312612511683618,0.0,1.7312612511683618,0.5193783753505081
4,16.0,21.292663712808352,34.70733628719165,65.29266371280835,0.0,1.4135688922716232,0.0,1.4135688922716232,0.42407066768148904
5,16.0,34.567897588248854,15.379812899647602,41.344953224911904,0.0,2.2028880142851017,0.0,2.2028880142851017,0.6608664042855276
6,16.0,42.66254718629032,40.78455604786527,13.1382241914611,0.0,2.3793910013687194,0.0,2.3793910013687194,0.7138173004106176
7,16.0,75.89154032444858,52.480957164296015,12.42285140284478,0.0,1.7103599467135246,0.0,1.7103599467135246,0.5131079840140597
8,16.0,63.714755351040424,5.221760531603569,66.73613996677477,0.0,2.3231827317060736,0.0,2.3231827317060736,0.6969548195118216
9,16.0,39.70767953157653,17.664969982549053,42.3238436249588,0.0,1.9860558463846445,0.0,1.9860558463846445,0.5958167539153958
0,16.2,16.667588549894433,14.766205725052785,14.766205725052785,0.0,2.024039083969204,0.0,2.024039083969204,0.6072117251907623
1,16.2,83.33241145010557,14.766205725052785,14.766205725052785,0.0,2.0240390839692015,0.0,2.0240390839692015,0.6072117251907623
2,16.2,50.0,36.2,50.0,0.0,0.0,0.0,0.0,0.0
3,16.2,29.05069141242082,50.0,27.149308587579178,0.0,1.7528692649699134,0.0,1.7528692649699134,0.5258607794909755
4,16.2,21.433794274947218,34.766205725052785,65.23379427494721,0.0,1.4312117616612356,0.0,1.4312117616612356,0.4293635284983745
5,16.2,34.62492895344324,15.447092257203181,41.3617730643008,0.0,2.2303824404347066,0.0,2.2303824404347066,0.6691147321304107
6,16.2,42.69575044568378,40.794367620842124,13.177470483368522,0.0,2.4090883757899135,0.0,2.4090883757899135,0.7227265127369723
7,16.2,75.77772518147728,52.42444250394933,12.490668995260805,0.0,1.731707089618318,0.0,1.731707089618318,0.5195121268854965
8,16.2,63.67376470460929,5.2745574116471845,66.73284016177205,0.0,2.3521785660992633,0.0,2.3521785660992633,0.7056535698297822
9,16.2,39.79147077804218,17.74832137541673,42.31538768655193,0.0,2.0108439724461373,0.0,2.0108439724461373,0.603253191733839
0,16.4,16.749849674172165,14.825075162913919,14.825075162913919,0.0,2.0489898691391577,0.0,2.0489898691391577,0.6146969607417491
1,16.4,83.25015032582783,14.825075162913917,14.825075162913917,0.0,2.04898986913915,0.0,2.04898986913915,0.6146969607417433
2,16.4,50.0,36.4,50.0,0.0,4.973799150320701e-15,0.0,4.973799150320701e-15,0.0
3,16.4,29.16238725562912,50.0,27.23761274437087,0.0,1.7744772787714613,0.0,1.7744772787714613,0.532343183631438
4,16.4,21.574924837086083,34.82507516291391,65.17492483708608,0.0,1.448854631050831,0.0,1.448854631050831,0.4346563893152476
5,16.4,34.68196031863763,15.514371614758762,41.37859290368969,0.0,2.2578768665843296,0.0,2.2578768665843296,0.6773630599753003
6,16.4,42.72895370507723,40.80417919381898,13.216716775275946,0.0,2.43878575021111,0.0,2.43878575021111,0.7316357250633351
7,16.4,75.66391003850597,52.367927843602644,12.55848658767683,0.0,1.7530542325230911,0.0,1.7530542325230911,0.5259162697569244
8,16.4,63.63277405817815,5.3273542916908,66.72954035676932,0.0,2.3811744004924575,0.0,2.3811744004924575,0.7143523201477358
9,16.4,39.87526202450782,17.83167276828441,42.30693174814506,0.0,2.035632098507623,0.0,2.035632098507623,0.6106896295522898
0,16.6,16.8321107984499,14.883944600775049,14.883944600775049,0.0,2.0739406543091112,0.0,2.0739406543091112,0.6221821962927314
1,16.6,83.1678892015501,14.883944600775049,14.883944600775049,0.0,2.0739406543091197,0.0,2.0739406543091197,0.6221821962927357
2,16.6,50.0,36.6,50.0,0.0,4.973799150320701e-15,0.0,4.973799150320701e-15,0.0
3,16.6,29.274083098837423,50.0,27.32591690116257,0.0,1.7960852925730166,0.0,1.7960852925730166,0.5388255877719054
4,16.6,21.71605539922495,34.883944600775045,65.11605539922495,0.0,1.4664975004404368,0.0,1.4664975004404368,0.43994925013213304
5,16.6,34.73899168383202,15.581650972314343,41.39541274307859,0.0,2.2853712927339394,0.0,2.2853712927339394,0.6856113878201835
6,16.6,42.76215696447069,40.81399076679584,13.255963067183368,0.0,2.4684831246323045,0.0,2.4684831246323045,0.7405449373896902
7,16.6,75.55009489553467,52.31141318325596,12.626304180092857,0.0,1.7744013754278818,0.0,1.7744013754278818,0.5323204126283603
8,16.6,63.591783411747016,5.380151171734415,66.7262405517666,0.0,2.410170234885646,0.0,2.410170234885646,0.7230510704656962
9,16.6,39.95905327097346,17.915024161152086,42.29847580973819,0.0,2.0604202245691066,0.0,2.0604202245691066,0.6181260673707325
0,16.8,16.914371922727632,14.942814038636184,14.942814038636184,0.0,2.098891439479069,0.0,2.098891439479069,0.6296674318437224
1,16.8,83.08562807727237,14.94281403863618,14.94281403863618,0.0,2.098891439479076,0.0,2.098891439479076,0.6296674318437282
2,16.8,50.0,36.8,50.0,0.0,0.0,0.0,0.0,0.0
3,16.8,29.38577894204572,50.0,27.414221057954276,0.0,1.8176933063745566,0.0,1.8176933063745566,0.5453079919123677
4,16.8,21.857185961363818,34.942814038636186,65.05718596136381,0.0,1.484140369830048,0.0,1.484140369830048,0.44524211094901844
5,16.8,34.79602304902642,15.648930329869927,41.41223258246748,0.0,2.3128657188835655,0.0,2.3128657188835655,0.6938597156650674
6,16.8,42.795360223864144,40.82380233977269,13.295209359090789,0.0,2.4981804990535053,0.0,2.4981804990535053,0.7494541497160526
7,16.8,75.43627975256337,52.25489852290926,12.694121772508888,0.0,1.7957485183326665,0.0,1.7957485183326665,0.5387245554998014
8,16.8,63.550792765315876,5.43294805177803,66.72294074676388,0.0,2.439166069278841,0.0,2.439166069278841,0.7317498207836501
9,16.8,40.04284451743911,17.99837555401977,42.290019871331324,0.0,2.085208350630589,0.0,2.085208350630589,0.6255625051891777
0,17.0,16.996633047005364,15.001683476497316,15.001683476497316,0.0,2.123842224649027,0.0,2.123842224649027,0.6371526673947091
1,17.0,83.00336695299463,15.001683476497318,15.001683476497318,0.0,2.1238422246490423,0.0,2.1238422246490423,0.6371526673947091
2,17.0,50.0,37.0,50.0,0.0,0.0,0.0,0.0,0.0
3,17.0,29.497474785254024,50.0,27.502525214745976,0.0,1.8393013201761126,0.0,1.8393013201761126,0.5517903960528351
4,17.0,21.998316523502684,35.00168347649732,64.99831652350268,0.0,1.501783239219645,0.0,1.501783239219645,0.4505349717658916
5,17.0,34.85305441422081,15.716209687425508,41.429052421856376,0.0,2.34036014503318,0.0,2.34036014503318,0.7021080435099506
