agent,time,x,y,z,original_x,original_y,original_z,distance,threshold,applied_force
1,11.4,11.4,19.0,0.0,11.4,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,11.4,10.0,10.0,11.4,10.0,10.0,11.4,14.529969029560938,-6.764984514780469,0.0
3,11.4,7.6,0.0,0.0,7.6,0.0,0.0,2.9732137494637016,-0.9866068747318508,0.0
0,11.6,10.6,1.0,0.0,10.6,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,11.6,11.6,19.0,0.0,11.6,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,11.6,10.0,10.0,11.6,10.0,10.0,11.6,14.694216549377513,-6.847108274688757,0.0
3,11.6,7.4,0.0,0.0,7.4,0.0,0.0,3.3526109228480414,-1.1763054614240207,0.0
0,11.8,10.8,1.0,0.0,10.8,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,11.8,11.8,19.0,0.0,11.8,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,11.8,10.0,10.0,11.8,10.0,10.0,11.8,14.862032162527438,-6.931016081263719,0.0
3,11.8,7.2,0.0,0.0,7.2,0.0,0.0,3.7363083384538816,-1.3681541692269408,0.0
0,12.0,11.0,1.0,0.0,11.0,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,12.0,12.0,19.0,0.0,12.0,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,12.0,10.0,10.0,12.0,10.0,10.0,12.0,15.033296378372908,-7.016648189186454,0.0
3,12.0,7.0,0.0,0.0,7.0,0.0,0.0,4.123105625617661,-1.5615528128088303,0.0
0,12.2,11.2,1.0,0.0,11.2,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,12.2,12.2,19.0,0.0,12.2,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,12.2,10.0,10.0,12.2,10.0,10.0,12.2,15.207892687680301,-7.103946343840151,0.0
3,12.2,6.8,0.0,0.0,6.8,0.0,0.0,4.512205669071391,-1.7561028345356955,0.0
0,12.4,11.4,1.0,0.0,11.4,1.0,0.0,18.027756377319946,-8.513878188659973,0.0
1,12.4,12.4,19.0,0.0,12.4,19.0,0.0,18.027756377319946,-8.513878188659973,0.0
2,12.4,10.0,10.0,12.4,10.0,10.0,12.4,15.385707653533522,-7.192853826766761,0.0
